- Wed Aug 02 2023 16:39:46 GMT+0100 (Western European Summer Time) | MESSAGE: DB QUERY: 
  WITH sensor_data AS (SELECT s.id AS sensor_id FROM sensor s INNER JOIN station st ON s.station = st.id WHERE st.serial = $1 AND s.name = $2 LIMIT 1) INSERT INTO reg_sensor_3 (registered_date, sensor, average, minimum, maximum, unit) SELECT $3, sensor_id, $4, $5, $6, $7 FROM sensor_data;| VALORES QUERY: 0020DADD,Soil temperature 1,2023-08-01 00:00:00,21.2,21.2,21.2,°C
- Wed Aug 02 2023 16:39:46 GMT+0100 (Western European Summer Time) | MESSAGE: DB QUERY: 
  WITH sensor_data AS (SELECT s.id AS sensor_id FROM sensor s INNER JOIN station st ON s.station = st.id WHERE st.serial = $1 AND s.name = $2 LIMIT 1) INSERT INTO reg_sensor_4 (registered_date, sensor, average, minimum, maximum, unit) SELECT $3, sensor_id, $4, $5, $6, $7 FROM sensor_data;| VALORES QUERY: 0020DADD,Soil temperature 2,2023-08-01 00:00:00,23.2,23.2,23.2,°C
- Wed Aug 02 2023 16:39:46 GMT+0100 (Western European Summer Time) | MESSAGE: DB QUERY: 
  WITH sensor_data AS (SELECT s.id AS sensor_id FROM sensor s INNER JOIN station st ON s.station = st.id WHERE st.serial = $1 AND s.name = $2 LIMIT 1) INSERT INTO reg_sensor_5 (registered_date, sensor, average, minimum, maximum, unit) SELECT $3, sensor_id, $4, $5, $6, $7 FROM sensor_data;| VALORES QUERY: 0020DADD,Soil temperature 3,2023-08-01 00:00:00,23.5,23.5,23.5,°C
- Wed Aug 02 2023 16:39:46 GMT+0100 (Western European Summer Time) | MESSAGE: DB QUERY: 
  WITH sensor_data AS (SELECT s.id AS sensor_id FROM sensor s INNER JOIN station st ON s.station = st.id WHERE st.serial = $1 AND s.name = $2 LIMIT 1) INSERT INTO reg_sensor_1 (registered_date, sensor, value, unit) SELECT $3, sensor_id, $4, $5 FROM sensor_data;| VALORES QUERY: 0020DADD,Solar Panel,2023-08-01 00:15:00,0,mV
- Wed Aug 02 2023 16:39:46 GMT+0100 (Western European Summer Time) | MESSAGE: DB QUERY: 
  WITH sensor_data AS (SELECT s.id AS sensor_id FROM sensor s INNER JOIN station st ON s.station = st.id WHERE st.serial = $1 AND s.name = $2 LIMIT 1) INSERT INTO reg_sensor_2 (registered_date, sensor, value, unit) SELECT $3, sensor_id, $4, $5 FROM sensor_data;| VALORES QUERY: 0020DADD,Battery,2023-08-01 00:15:00,6223,mV
- Wed Aug 02 2023 16:39:46 GMT+0100 (Western European Summer Time) | MESSAGE: DB QUERY: 
  WITH sensor_data AS (SELECT s.id AS sensor_id FROM sensor s INNER JOIN station st ON s.station = st.id WHERE st.serial = $1 AND s.name = $2 LIMIT 1) INSERT INTO reg_sensor_21 (registered_date, sensor, average, minimum, maximum, unit) SELECT $3, sensor_id, $4, $5, $6, $7 FROM sensor_data;| VALORES QUERY: 0020DADD,Diameter,2023-08-01 00:15:00,4679,4679,4679,μm
- Wed Aug 02 2023 16:39:46 GMT+0100 (Western European Summer Time) | MESSAGE: DB QUERY: 
  WITH sensor_data AS (SELECT s.id AS sensor_id FROM sensor s INNER JOIN station st ON s.station = st.id WHERE st.serial = $1 AND s.name = $2 LIMIT 1) INSERT INTO reg_sensor_9 (registered_date, sensor, average, minimum, maximum, unit) SELECT $3, sensor_id, $4, $5, $6, $7 FROM sensor_data;| VALORES QUERY: 0020DADD,EAG Soil moisture 1,2023-08-01 00:15:00,6.47,,,%
- Wed Aug 02 2023 16:39:46 GMT+0100 (Western European Summer Time) | MESSAGE: DB QUERY: 
  WITH sensor_data AS (SELECT s.id AS sensor_id FROM sensor s INNER JOIN station st ON s.station = st.id WHERE st.serial = $1 AND s.name = $2 LIMIT 1) INSERT INTO reg_sensor_10 (registered_date, sensor, average, minimum, maximum, unit) SELECT $3, sensor_id, $4, $5, $6, $7 FROM sensor_data;| VALORES QUERY: 0020DADD,EAG Soil moisture 2,2023-08-01 00:15:00,16.52,,,%
- Wed Aug 02 2023 16:39:46 GMT+0100 (Western European Summer Time) | MESSAGE: DB QUERY: 
  WITH sensor_data AS (SELECT s.id AS sensor_id FROM sensor s INNER JOIN station st ON s.station = st.id WHERE st.serial = $1 AND s.name = $2 LIMIT 1) INSERT INTO reg_sensor_11 (registered_date, sensor, average, minimum, maximum, unit) SELECT $3, sensor_id, $4, $5, $6, $7 FROM sensor_data;| VALORES QUERY: 0020DADD,EAG Soil moisture 3,2023-08-01 00:15:00,23.33,,,%
- Wed Aug 02 2023 16:39:46 GMT+0100 (Western European Summer Time) | MESSAGE: DB QUERY: 
  WITH sensor_data AS (SELECT s.id AS sensor_id FROM sensor s INNER JOIN station st ON s.station = st.id WHERE st.serial = $1 AND s.name = $2 LIMIT 1) INSERT INTO reg_sensor_15 (registered_date, sensor, average, minimum, maximum, unit) SELECT $3, sensor_id, $4, $5, $6, $7 FROM sensor_data;| VALORES QUERY: 0020DADD,Volumetric Ionic Content 1,2023-08-01 00:15:00,3337.357,,,VIC
- Wed Aug 02 2023 16:39:46 GMT+0100 (Western European Summer Time) | MESSAGE: DB QUERY: 
  WITH sensor_data AS (SELECT s.id AS sensor_id FROM sensor s INNER JOIN station st ON s.station = st.id WHERE st.serial = $1 AND s.name = $2 LIMIT 1) INSERT INTO reg_sensor_16 (registered_date, sensor, average, minimum, maximum, unit) SELECT $3, sensor_id, $4, $5, $6, $7 FROM sensor_data;| VALORES QUERY: 0020DADD,Volumetric Ionic Content 2,2023-08-01 00:15:00,2311.602,,,VIC
- Wed Aug 02 2023 16:39:46 GMT+0100 (Western European Summer Time) | MESSAGE: DB QUERY: 
  WITH sensor_data AS (SELECT s.id AS sensor_id FROM sensor s INNER JOIN station st ON s.station = st.id WHERE st.serial = $1 AND s.name = $2 LIMIT 1) INSERT INTO reg_sensor_17 (registered_date, sensor, average, minimum, maximum, unit) SELECT $3, sensor_id, $4, $5, $6, $7 FROM sensor_data;| VALORES QUERY: 0020DADD,Volumetric Ionic Content 3,2023-08-01 00:15:00,1496.939,,,VIC
- Wed Aug 02 2023 16:39:46 GMT+0100 (Western European Summer Time) | MESSAGE: DB QUERY: 
  WITH sensor_data AS (SELECT s.id AS sensor_id FROM sensor s INNER JOIN station st ON s.station = st.id WHERE st.serial = $1 AND s.name = $2 LIMIT 1) INSERT INTO reg_sensor_3 (registered_date, sensor, average, minimum, maximum, unit) SELECT $3, sensor_id, $4, $5, $6, $7 FROM sensor_data;| VALORES QUERY: 0020DADD,Soil temperature 1,2023-08-01 00:15:00,21.2,21.2,21.2,°C
- Wed Aug 02 2023 16:39:46 GMT+0100 (Western European Summer Time) | MESSAGE: DB QUERY: 
  WITH sensor_data AS (SELECT s.id AS sensor_id FROM sensor s INNER JOIN station st ON s.station = st.id WHERE st.serial = $1 AND s.name = $2 LIMIT 1) INSERT INTO reg_sensor_4 (registered_date, sensor, average, minimum, maximum, unit) SELECT $3, sensor_id, $4, $5, $6, $7 FROM sensor_data;| VALORES QUERY: 0020DADD,Soil temperature 2,2023-08-01 00:15:00,23.2,23.2,23.2,°C
- Wed Aug 02 2023 16:39:46 GMT+0100 (Western European Summer Time) | MESSAGE: DB QUERY: 
  WITH sensor_data AS (SELECT s.id AS sensor_id FROM sensor s INNER JOIN station st ON s.station = st.id WHERE st.serial = $1 AND s.name = $2 LIMIT 1) INSERT INTO reg_sensor_5 (registered_date, sensor, average, minimum, maximum, unit) SELECT $3, sensor_id, $4, $5, $6, $7 FROM sensor_data;| VALORES QUERY: 0020DADD,Soil temperature 3,2023-08-01 00:15:00,23.5,23.5,23.5,°C
- Wed Aug 02 2023 16:39:46 GMT+0100 (Western European Summer Time) | MESSAGE: DB QUERY: 
  WITH sensor_data AS (SELECT s.id AS sensor_id FROM sensor s INNER JOIN station st ON s.station = st.id WHERE st.serial = $1 AND s.name = $2 LIMIT 1) INSERT INTO reg_sensor_1 (registered_date, sensor, value, unit) SELECT $3, sensor_id, $4, $5 FROM sensor_data;| VALORES QUERY: 0020DADD,Solar Panel,2023-08-01 00:45:00,0,mV
- Wed Aug 02 2023 16:39:46 GMT+0100 (Western European Summer Time) | MESSAGE: DB QUERY: 
  WITH sensor_data AS (SELECT s.id AS sensor_id FROM sensor s INNER JOIN station st ON s.station = st.id WHERE st.serial = $1 AND s.name = $2 LIMIT 1) INSERT INTO reg_sensor_2 (registered_date, sensor, value, unit) SELECT $3, sensor_id, $4, $5 FROM sensor_data;| VALORES QUERY: 0020DADD,Battery,2023-08-01 00:45:00,6223,mV
- Wed Aug 02 2023 16:39:46 GMT+0100 (Western European Summer Time) | MESSAGE: DB QUERY: 
  WITH sensor_data AS (SELECT s.id AS sensor_id FROM sensor s INNER JOIN station st ON s.station = st.id WHERE st.serial = $1 AND s.name = $2 LIMIT 1) INSERT INTO reg_sensor_21 (registered_date, sensor, average, minimum, maximum, unit) SELECT $3, sensor_id, $4, $5, $6, $7 FROM sensor_data;| VALORES QUERY: 0020DADD,Diameter,2023-08-01 00:45:00,4679,4679,4679,μm
- Wed Aug 02 2023 16:39:46 GMT+0100 (Western European Summer Time) | MESSAGE: DB QUERY: 
  WITH sensor_data AS (SELECT s.id AS sensor_id FROM sensor s INNER JOIN station st ON s.station = st.id WHERE st.serial = $1 AND s.name = $2 LIMIT 1) INSERT INTO reg_sensor_9 (registered_date, sensor, average, minimum, maximum, unit) SELECT $3, sensor_id, $4, $5, $6, $7 FROM sensor_data;| VALORES QUERY: 0020DADD,EAG Soil moisture 1,2023-08-01 00:45:00,6.47,,,%
- Wed Aug 02 2023 16:39:46 GMT+0100 (Western European Summer Time) | MESSAGE: DB QUERY: 
  WITH sensor_data AS (SELECT s.id AS sensor_id FROM sensor s INNER JOIN station st ON s.station = st.id WHERE st.serial = $1 AND s.name = $2 LIMIT 1) INSERT INTO reg_sensor_10 (registered_date, sensor, average, minimum, maximum, unit) SELECT $3, sensor_id, $4, $5, $6, $7 FROM sensor_data;| VALORES QUERY: 0020DADD,EAG Soil moisture 2,2023-08-01 00:45:00,16.52,,,%
- Wed Aug 02 2023 16:39:46 GMT+0100 (Western European Summer Time) | MESSAGE: DB QUERY: 
  WITH sensor_data AS (SELECT s.id AS sensor_id FROM sensor s INNER JOIN station st ON s.station = st.id WHERE st.serial = $1 AND s.name = $2 LIMIT 1) INSERT INTO reg_sensor_11 (registered_date, sensor, average, minimum, maximum, unit) SELECT $3, sensor_id, $4, $5, $6, $7 FROM sensor_data;| VALORES QUERY: 0020DADD,EAG Soil moisture 3,2023-08-01 00:45:00,23.33,,,%
- Wed Aug 02 2023 16:39:46 GMT+0100 (Western European Summer Time) | MESSAGE: DB QUERY: 
  WITH sensor_data AS (SELECT s.id AS sensor_id FROM sensor s INNER JOIN station st ON s.station = st.id WHERE st.serial = $1 AND s.name = $2 LIMIT 1) INSERT INTO reg_sensor_15 (registered_date, sensor, average, minimum, maximum, unit) SELECT $3, sensor_id, $4, $5, $6, $7 FROM sensor_data;| VALORES QUERY: 0020DADD,Volumetric Ionic Content 1,2023-08-01 00:45:00,3337.357,,,VIC
- Wed Aug 02 2023 16:39:46 GMT+0100 (Western European Summer Time) | MESSAGE: DB QUERY: 
  WITH sensor_data AS (SELECT s.id AS sensor_id FROM sensor s INNER JOIN station st ON s.station = st.id WHERE st.serial = $1 AND s.name = $2 LIMIT 1) INSERT INTO reg_sensor_16 (registered_date, sensor, average, minimum, maximum, unit) SELECT $3, sensor_id, $4, $5, $6, $7 FROM sensor_data;| VALORES QUERY: 0020DADD,Volumetric Ionic Content 2,2023-08-01 00:45:00,2311.602,,,VIC
- Wed Aug 02 2023 16:39:46 GMT+0100 (Western European Summer Time) | MESSAGE: DB QUERY: 
  WITH sensor_data AS (SELECT s.id AS sensor_id FROM sensor s INNER JOIN station st ON s.station = st.id WHERE st.serial = $1 AND s.name = $2 LIMIT 1) INSERT INTO reg_sensor_17 (registered_date, sensor, average, minimum, maximum, unit) SELECT $3, sensor_id, $4, $5, $6, $7 FROM sensor_data;| VALORES QUERY: 0020DADD,Volumetric Ionic Content 3,2023-08-01 00:45:00,1496.939,,,VIC
- Wed Aug 02 2023 16:39:46 GMT+0100 (Western European Summer Time) | MESSAGE: DB QUERY: 
  WITH sensor_data AS (SELECT s.id AS sensor_id FROM sensor s INNER JOIN station st ON s.station = st.id WHERE st.serial = $1 AND s.name = $2 LIMIT 1) INSERT INTO reg_sensor_3 (registered_date, sensor, average, minimum, maximum, unit) SELECT $3, sensor_id, $4, $5, $6, $7 FROM sensor_data;| VALORES QUERY: 0020DADD,Soil temperature 1,2023-08-01 00:45:00,21.2,21.2,21.2,°C
- Wed Aug 02 2023 16:39:46 GMT+0100 (Western European Summer Time) | MESSAGE: DB QUERY: 
  WITH sensor_data AS (SELECT s.id AS sensor_id FROM sensor s INNER JOIN station st ON s.station = st.id WHERE st.serial = $1 AND s.name = $2 LIMIT 1) INSERT INTO reg_sensor_4 (registered_date, sensor, average, minimum, maximum, unit) SELECT $3, sensor_id, $4, $5, $6, $7 FROM sensor_data;| VALORES QUERY: 0020DADD,Soil temperature 2,2023-08-01 00:45:00,23.2,23.2,23.2,°C
- Wed Aug 02 2023 16:39:46 GMT+0100 (Western European Summer Time) | MESSAGE: DB QUERY: 
  WITH sensor_data AS (SELECT s.id AS sensor_id FROM sensor s INNER JOIN station st ON s.station = st.id WHERE st.serial = $1 AND s.name = $2 LIMIT 1) INSERT INTO reg_sensor_5 (registered_date, sensor, average, minimum, maximum, unit) SELECT $3, sensor_id, $4, $5, $6, $7 FROM sensor_data;| VALORES QUERY: 0020DADD,Soil temperature 3,2023-08-01 00:45:00,23.5,23.5,23.5,°C
- Wed Aug 02 2023 16:39:46 GMT+0100 (Western European Summer Time) | MESSAGE: DB QUERY: 
  WITH sensor_data AS (SELECT s.id AS sensor_id FROM sensor s INNER JOIN station st ON s.station = st.id WHERE st.serial = $1 AND s.name = $2 LIMIT 1) INSERT INTO reg_sensor_1 (registered_date, sensor, value, unit) SELECT $3, sensor_id, $4, $5 FROM sensor_data;| VALORES QUERY: 0020DADD,Solar Panel,2023-08-01 01:00:00,0,mV
- Wed Aug 02 2023 16:39:46 GMT+0100 (Western European Summer Time) | MESSAGE: DB QUERY: 
  WITH sensor_data AS (SELECT s.id AS sensor_id FROM sensor s INNER JOIN station st ON s.station = st.id WHERE st.serial = $1 AND s.name = $2 LIMIT 1) INSERT INTO reg_sensor_2 (registered_date, sensor, value, unit) SELECT $3, sensor_id, $4, $5 FROM sensor_data;| VALORES QUERY: 0020DADD,Battery,2023-08-01 01:00:00,6223,mV
- Wed Aug 02 2023 16:39:46 GMT+0100 (Western European Summer Time) | MESSAGE: DB QUERY: 
  WITH sensor_data AS (SELECT s.id AS sensor_id FROM sensor s INNER JOIN station st ON s.station = st.id WHERE st.serial = $1 AND s.name = $2 LIMIT 1) INSERT INTO reg_sensor_21 (registered_date, sensor, average, minimum, maximum, unit) SELECT $3, sensor_id, $4, $5, $6, $7 FROM sensor_data;| VALORES QUERY: 0020DADD,Diameter,2023-08-01 01:00:00,4679,4679,4679,μm
- Wed Aug 02 2023 16:39:46 GMT+0100 (Western European Summer Time) | MESSAGE: DB QUERY: 
  WITH sensor_data AS (SELECT s.id AS sensor_id FROM sensor s INNER JOIN station st ON s.station = st.id WHERE st.serial = $1 AND s.name = $2 LIMIT 1) INSERT INTO reg_sensor_9 (registered_date, sensor, average, minimum, maximum, unit) SELECT $3, sensor_id, $4, $5, $6, $7 FROM sensor_data;| VALORES QUERY: 0020DADD,EAG Soil moisture 1,2023-08-01 01:00:00,6.47,,,%
- Wed Aug 02 2023 16:39:46 GMT+0100 (Western European Summer Time) | MESSAGE: DB QUERY: 
  WITH sensor_data AS (SELECT s.id AS sensor_id FROM sensor s INNER JOIN station st ON s.station = st.id WHERE st.serial = $1 AND s.name = $2 LIMIT 1) INSERT INTO reg_sensor_10 (registered_date, sensor, average, minimum, maximum, unit) SELECT $3, sensor_id, $4, $5, $6, $7 FROM sensor_data;| VALORES QUERY: 0020DADD,EAG Soil moisture 2,2023-08-01 01:00:00,16.52,,,%
- Wed Aug 02 2023 16:39:46 GMT+0100 (Western European Summer Time) | MESSAGE: DB QUERY: 
  WITH sensor_data AS (SELECT s.id AS sensor_id FROM sensor s INNER JOIN station st ON s.station = st.id WHERE st.serial = $1 AND s.name = $2 LIMIT 1) INSERT INTO reg_sensor_11 (registered_date, sensor, average, minimum, maximum, unit) SELECT $3, sensor_id, $4, $5, $6, $7 FROM sensor_data;| VALORES QUERY: 0020DADD,EAG Soil moisture 3,2023-08-01 01:00:00,23.33,,,%
- Wed Aug 02 2023 16:39:46 GMT+0100 (Western European Summer Time) | MESSAGE: DB QUERY: 
  WITH sensor_data AS (SELECT s.id AS sensor_id FROM sensor s INNER JOIN station st ON s.station = st.id WHERE st.serial = $1 AND s.name = $2 LIMIT 1) INSERT INTO reg_sensor_15 (registered_date, sensor, average, minimum, maximum, unit) SELECT $3, sensor_id, $4, $5, $6, $7 FROM sensor_data;| VALORES QUERY: 0020DADD,Volumetric Ionic Content 1,2023-08-01 01:00:00,3337.357,,,VIC
- Wed Aug 02 2023 16:39:46 GMT+0100 (Western European Summer Time) | MESSAGE: DB QUERY: 
  WITH sensor_data AS (SELECT s.id AS sensor_id FROM sensor s INNER JOIN station st ON s.station = st.id WHERE st.serial = $1 AND s.name = $2 LIMIT 1) INSERT INTO reg_sensor_16 (registered_date, sensor, average, minimum, maximum, unit) SELECT $3, sensor_id, $4, $5, $6, $7 FROM sensor_data;| VALORES QUERY: 0020DADD,Volumetric Ionic Content 2,2023-08-01 01:00:00,2311.602,,,VIC
- Wed Aug 02 2023 16:39:46 GMT+0100 (Western European Summer Time) | MESSAGE: DB QUERY: 
  WITH sensor_data AS (SELECT s.id AS sensor_id FROM sensor s INNER JOIN station st ON s.station = st.id WHERE st.serial = $1 AND s.name = $2 LIMIT 1) INSERT INTO reg_sensor_17 (registered_date, sensor, average, minimum, maximum, unit) SELECT $3, sensor_id, $4, $5, $6, $7 FROM sensor_data;| VALORES QUERY: 0020DADD,Volumetric Ionic Content 3,2023-08-01 01:00:00,1496.939,,,VIC
- Wed Aug 02 2023 16:39:46 GMT+0100 (Western European Summer Time) | MESSAGE: DB QUERY: 
  WITH sensor_data AS (SELECT s.id AS sensor_id FROM sensor s INNER JOIN station st ON s.station = st.id WHERE st.serial = $1 AND s.name = $2 LIMIT 1) INSERT INTO reg_sensor_3 (registered_date, sensor, average, minimum, maximum, unit) SELECT $3, sensor_id, $4, $5, $6, $7 FROM sensor_data;| VALORES QUERY: 0020DADD,Soil temperature 1,2023-08-01 01:00:00,21.2,21.2,21.2,°C
- Wed Aug 02 2023 16:39:46 GMT+0100 (Western European Summer Time) | MESSAGE: DB QUERY: 
  WITH sensor_data AS (SELECT s.id AS sensor_id FROM sensor s INNER JOIN station st ON s.station = st.id WHERE st.serial = $1 AND s.name = $2 LIMIT 1) INSERT INTO reg_sensor_4 (registered_date, sensor, average, minimum, maximum, unit) SELECT $3, sensor_id, $4, $5, $6, $7 FROM sensor_data;| VALORES QUERY: 0020DADD,Soil temperature 2,2023-08-01 01:00:00,23.2,23.2,23.2,°C
- Wed Aug 02 2023 16:39:46 GMT+0100 (Western European Summer Time) | MESSAGE: DB QUERY: 
  WITH sensor_data AS (SELECT s.id AS sensor_id FROM sensor s INNER JOIN station st ON s.station = st.id WHERE st.serial = $1 AND s.name = $2 LIMIT 1) INSERT INTO reg_sensor_5 (registered_date, sensor, average, minimum, maximum, unit) SELECT $3, sensor_id, $4, $5, $6, $7 FROM sensor_data;| VALORES QUERY: 0020DADD,Soil temperature 3,2023-08-01 01:00:00,23.5,23.5,23.5,°C
- Wed Aug 02 2023 16:39:46 GMT+0100 (Western European Summer Time) | MESSAGE: DB QUERY: 
  WITH sensor_data AS (SELECT s.id AS sensor_id FROM sensor s INNER JOIN station st ON s.station = st.id WHERE st.serial = $1 AND s.name = $2 LIMIT 1) INSERT INTO reg_sensor_1 (registered_date, sensor, value, unit) SELECT $3, sensor_id, $4, $5 FROM sensor_data;| VALORES QUERY: 0020DADD,Solar Panel,2023-08-01 01:31:00,0,mV
- Wed Aug 02 2023 16:39:46 GMT+0100 (Western European Summer Time) | MESSAGE: DB QUERY: 
  WITH sensor_data AS (SELECT s.id AS sensor_id FROM sensor s INNER JOIN station st ON s.station = st.id WHERE st.serial = $1 AND s.name = $2 LIMIT 1) INSERT INTO reg_sensor_2 (registered_date, sensor, value, unit) SELECT $3, sensor_id, $4, $5 FROM sensor_data;| VALORES QUERY: 0020DADD,Battery,2023-08-01 01:31:00,6223,mV
- Wed Aug 02 2023 16:39:46 GMT+0100 (Western European Summer Time) | MESSAGE: DB QUERY: 
  WITH sensor_data AS (SELECT s.id AS sensor_id FROM sensor s INNER JOIN station st ON s.station = st.id WHERE st.serial = $1 AND s.name = $2 LIMIT 1) INSERT INTO reg_sensor_21 (registered_date, sensor, average, minimum, maximum, unit) SELECT $3, sensor_id, $4, $5, $6, $7 FROM sensor_data;| VALORES QUERY: 0020DADD,Diameter,2023-08-01 01:31:00,4679,4679,4679,μm
- Wed Aug 02 2023 16:39:46 GMT+0100 (Western European Summer Time) | MESSAGE: DB QUERY: 
  WITH sensor_data AS (SELECT s.id AS sensor_id FROM sensor s INNER JOIN station st ON s.station = st.id WHERE st.serial = $1 AND s.name = $2 LIMIT 1) INSERT INTO reg_sensor_9 (registered_date, sensor, average, minimum, maximum, unit) SELECT $3, sensor_id, $4, $5, $6, $7 FROM sensor_data;| VALORES QUERY: 0020DADD,EAG Soil moisture 1,2023-08-01 01:31:00,6.47,,,%
- Wed Aug 02 2023 16:39:46 GMT+0100 (Western European Summer Time) | MESSAGE: DB QUERY: 
  WITH sensor_data AS (SELECT s.id AS sensor_id FROM sensor s INNER JOIN station st ON s.station = st.id WHERE st.serial = $1 AND s.name = $2 LIMIT 1) INSERT INTO reg_sensor_10 (registered_date, sensor, average, minimum, maximum, unit) SELECT $3, sensor_id, $4, $5, $6, $7 FROM sensor_data;| VALORES QUERY: 0020DADD,EAG Soil moisture 2,2023-08-01 01:31:00,16.52,,,%
- Wed Aug 02 2023 16:39:46 GMT+0100 (Western European Summer Time) | MESSAGE: DB QUERY: 
  WITH sensor_data AS (SELECT s.id AS sensor_id FROM sensor s INNER JOIN station st ON s.station = st.id WHERE st.serial = $1 AND s.name = $2 LIMIT 1) INSERT INTO reg_sensor_11 (registered_date, sensor, average, minimum, maximum, unit) SELECT $3, sensor_id, $4, $5, $6, $7 FROM sensor_data;| VALORES QUERY: 0020DADD,EAG Soil moisture 3,2023-08-01 01:31:00,23.33,,,%
- Wed Aug 02 2023 16:39:46 GMT+0100 (Western European Summer Time) | MESSAGE: DB QUERY: 
